title,date
ANTH 200 - do module 11,2016-04-21T00:00:00.000Z
ToDo - emails,2016-04-15T00:00:00.000Z
ToDo - shower,2016-04-15T00:00:00.000Z
ECOG - presentation to genevera,2016-04-19T00:00:00.000Z
COMP 130 - grade homework 8,2016-04-15T00:00:00.000Z
STAT 450 - add to conclusion,2016-04-18T00:00:00.000Z
ToDo - spreadsheet,2016-04-14T00:00:00.000Z
ToDo - calendar,2016-04-14T00:00:00.000Z
ToDo - emails,2016-04-14T00:00:00.000Z
ToDo - poop,2016-04-15T00:00:00.000Z
STAT 450 - write up analysis,2016-04-13T00:00:00.000Z
ToDo - poop,2016-04-13T00:00:00.000Z
STAT 450 - print poster,2016-04-13T00:00:00.000Z
ToDo - submit / finalize timesheet,2016-04-15T00:00:00.000Z
COMP 130 - office hours,2016-04-12T00:00:00.000Z
ToDo - work on planning family road trip,2016-04-11T00:00:00.000Z
ToDo - dinner with jessica,2016-04-13T00:00:00.000Z
STAT 450 - work on poster fixes with jake,2016-04-12T00:00:00.000Z
ToDo - shower,2016-04-13T00:00:00.000Z
ToDo - poop,2016-04-12T00:00:00.000Z
STAT 450 - poster practice with jake,2016-04-12T00:00:00.000Z
ToDo - run,2016-04-11T00:00:00.000Z
STAT 450 - poster practice with ecog lab group,2016-04-12T00:00:00.000Z
STAT 280 - grade homework 9,2016-04-11T00:00:00.000Z
ToDo - emails,2016-04-11T00:00:00.000Z
STAT 450 - create last plots for poster,2016-04-11T00:00:00.000Z
ToDo - grocery shop,2016-04-11T00:00:00.000Z
ToDo - hang out with nicholas,2016-04-10T00:00:00.000Z
ToDo - shower,2016-04-10T00:00:00.000Z
ToDo - poop,2016-04-10T00:00:00.000Z
ToDo - pay rent,2016-04-11T00:00:00.000Z
STAT 450 - work on poster with jake,2016-04-09T00:00:00.000Z
ToDo - update / fix spreadsheet stats,2016-04-21T00:00:00.000Z
ToDo - shower,2016-04-08T00:00:00.000Z
ToDo - poop,2016-04-08T00:00:00.000Z
COMP 427 - finish homework 9,2016-04-08T00:00:00.000Z
ToDo - hang out with rice kpcb fellows,2016-04-09T00:00:00.000Z
"ToDo - message nam about moving out, etc.",2016-04-11T00:00:00.000Z
PHIL 334 - write bonus response essay,2016-04-13T00:00:00.000Z
PHIL 334 - attend bonus lecture,2016-04-08T00:00:00.000Z
ToDo - find missing vape package,2016-04-09T00:00:00.000Z
ToDo - work on finding missing vape package,2016-04-08T00:00:00.000Z
ToDo - try to find missing vape package,2016-04-07T00:00:00.000Z
COMP 427 - work on homework 9,2016-04-07T00:00:00.000Z
ToDo - make counseling appointment,2016-04-07T00:00:00.000Z
PHIL 334 - do idlemess reading questions,2016-04-06T00:00:00.000Z
STAT 450 - work with jake,2016-04-07T00:00:00.000Z
STAT 450 - 3d error plot with sd bars,2016-04-06T00:00:00.000Z
ANTH 200 - do quiz 10,2016-04-14T00:00:00.000Z
ANTH 200 - do module 10,2016-04-14T00:00:00.000Z
ANTH 200 - review slides (4/14),2016-04-29T00:00:00.000Z
ANTH 200 - review slides (4/12),2016-04-29T00:00:00.000Z
ToDo - calendar / log,2016-04-06T00:00:00.000Z
ToDo - pick up visa,2016-04-11T00:00:00.000Z
ToDo - dinner with hannah,2016-04-10T00:00:00.000Z
STAT 450 - find 10 best nodes,2016-04-06T00:00:00.000Z
ToDo - get another Rice ID,2016-04-07T00:00:00.000Z
ToDo - shower,2016-04-06T00:00:00.000Z
ToDo - poop,2016-04-06T00:00:00.000Z
ToDo - groceries,2016-04-07T00:00:00.000Z
ToDo - pick up prescription meds,2016-04-07T00:00:00.000Z
ANTH 200 - review slides (4/7),2016-04-29T00:00:00.000Z
ANTH 200 - review slides (4/5),2016-04-29T00:00:00.000Z
ToDo - graduation info,2016-04-04T00:00:00.000Z
ToDo - clear esther holds,2016-04-04T00:00:00.000Z
ToDo - open ira account,2016-04-05T00:00:00.000Z
STAT 450 - work on spls,2016-04-04T00:00:00.000Z
